model,horizon_h,n,rmse,mae,bias,skill_vs_baseline,coverage_80,interval_width,pinball,episode_n,episode_rmse,episode_recall
scaled-cams,72,44951,93.32249376443332,67.55546533204874,-13.17312804075761,0.028638022068144586,0.6276167382260683,134.97707504560756,23.24289173068477,5270,191.25242102744045,0.07514231499051234
scaled-cams,0,133729,94.05827995320738,68.44931421622199,-12.253471099662427,-0.025149667305900403,0.6167099133321867,134.5955061567514,23.608109358105242,16201,189.7741821280678,0.08752546139127214
cams+obs,24,44168,63.65491063346254,41.716372170390024,-3.3860902922471707,0.2487656556922545,0.5764807100163014,80.11734007535512,14.45946735929312,5546,131.0794880651924,0.4677244861161197
cams+obs,48,44610,65.2428530513739,43.69040932590168,0.31089824412291556,0.3055396185230982,0.5486886348352388,77.79402387694284,15.269842449591641,5385,127.47305437587698,0.47799442896935934
cams+obs,72,44951,64.56169778728584,43.8584997563834,-4.052321717382741,0.3279993286549153,0.5408778447642989,82.26410399576149,15.28648815728805,5270,133.99704412726416,0.4081593927893738
cams+obs,0,133729,64.49269247179754,43.094925622710484,-2.3767737654190295,0.2970883343389218,0.5552423184200884,80.0639189727896,15.007787055610947,16201,130.85666747764617,0.45176223689895684
full (no fires),24,44168,63.268124491944505,41.31902335647531,-1.5052806188002223,0.25333037867307473,0.6036044194892229,83.78778890165795,14.261205541708593,5546,128.05805333565812,0.5155066714749369
full (no fires),48,44610,63.241922566818076,42.096268034512015,0.7712600243503906,0.3268379965464997,0.5858327729208698,83.73081261277872,14.403188560508392,5385,123.09313298535976,0.49545032497678737
full (no fires),72,44951,64.68755625346776,43.56231071493709,-3.0694110900555156,0.32668931084764863,0.562390158172232,83.48174198144464,15.081882343082702,5270,132.4404690462026,0.4297912713472486
full (no fires),0,133729,63.740098160263265,42.332348029040226,-1.2716196381785758,0.3052909275446395,0.5838225067113341,83.66590937397577,14.584427171775571,16201,127.88960174570359,0.4809579655576816
full,24,44168,62.64547466477631,41.24437663691462,0.3425769170737094,0.2606786873894197,0.6218076435428365,87.99064535708264,13.976448518559012,5546,125.03047802560538,0.5263252794807068
