fold,model,horizon_h,n,rmse,mae,bias,episode_recall,observed_mean
episode-2025,full (no fires),48,44226,93.46637579449853,61.46876124980996,-36.798772552010185,0.1630939766892167,203.8339411135406
episode-2025,full (no fires),72,43890,95.86954856902835,63.01978216483577,-36.328380422302615,0.016712170100107553,203.8339411135406
episode-2025,full (no fires),0,133272,94.6258827021951,62.95564582099112,-30.844932332383415,0.1712126547306265,203.8339411135406
episode-2025,full,24,45156,85.37725448258985,56.99360609017077,-21.299876586375404,0.4093767412242299,203.8339411135406
episode-2025,full,48,44226,90.95614696369343,60.636930555324845,-29.600078856533784,0.23147770804466541,203.8339411135406
episode-2025,full,72,43890,94.426405565953,62.64772195922687,-31.933591018390814,0.0256473897575908,203.8339411135406
episode-2025,full,0,133272,90.28602599815257,60.06468488608271,-27.55624305510988,0.2246268858853165,203.8339411135406
episode-2025,full+upwind,24,45156,88.21859711275034,58.94002214378494,-25.242203620569235,0.3135397596115577,203.8339411135406
episode-2025,full+upwind,48,44226,90.2801042556507,60.463140918038164,-27.01059472073365,0.22764691498899667,203.8339411135406
episode-2025,full+upwind,72,43890,93.39956428209473,62.386619408650176,-29.017437572226683,0.08124431207081989,203.8339411135406
episode-2025,full+upwind,0,133272,90.63396311510417,60.580521309889285,-27.072324598224835,0.20894390422275794,203.8339411135406
episode-2025,coupled,24,45156,88.02553728201055,58.296573299933605,-25.2872573992517,0.30884342911724905,203.8339411135406
episode-2025,coupled,48,44226,91.94041389808426,61.31590504804539,-30.792293647053526,0.15037900399380552,203.8339411135406
episode-2025,coupled,72,43890,95.29746324374078,63.11669967525655,-34.55556464424674,0.027798461156614544,203.8339411135406
episode-2025,coupled,0,133272,91.76778034536581,60.88592674630581,-30.16638983575836,0.16417021046073837,203.8339411135406
late-winter-2026,persistence,24,32383,88.98207805130639,62.16618715228278,0.3818004315901892,0.48295904887714664,145.54324796700234
late-winter-2026,persistence,48,31480,96.50608563957036,67.76268608579713,-0.7120369712295598,0.41890767951205987,145.54324796700234
late-winter-2026,persistence,72,30836,99.83509897113464,70.16289460602472,1.8223890957077922,0.34748010610079577,145.54324796700234
late-winter-2026,persistence,0,94699,95.12632424732817,66.63048199669105,0.48727135109266245,0.4189151599443672,145.54324796700234
late-winter-2026,raw-cams,24,32383,83.20150263966441,58.99895788500657,-23.376437656316714,0.11149273447820343,145.54324796700234
late-winter-2026,raw-cams,48,31480,82.45389631535394,58.33260694857141,-22.22029005914904,0.12586637094538397,145.54324796700234
late-winter-2026,raw-cams,72,30836,82.23529839857463,58.2794980583021,-22.733098571171332,0.09755378720895962,145.54324796700234
late-winter-2026,raw-cams,0,94699,82.63941017212447,58.54317703520628,-22.782624306773624,0.1119146963375058,145.54324796700234
late-winter-2026,full (no fires),24,32383,64.69568658174296,44.9450079080414,-3.431703866063884,0.4906208718626156,145.54324796700234
late-winter-2026,full (no fires),48,31480,68.0926099752589,47.568531863289024,8.786036786144987,0.514000554477405,145.54324796700234
late-winter-2026,full (no fires),72,30836,69.66862659056974,48.416755126897314,-3.2798452945429974,0.4627173592690834,145.54324796700234
late-winter-2026,full (no fires),0,94699,67.47631633961089,46.94759855157339,0.6791862874008127,0.48966156699119145,145.54324796700234
late-winter-2026,full,24,32383,64.34931872590911,44.78415680465278,-1.8224721386169829,0.5093791281373844,145.54324796700234
late-winter-2026,full,48,31480,68.33481982743585,47.12316935548084,5.000872214733668,0.4990296645411699,145.54324796700234
late-winter-2026,full,72,30836,69.69491709482922,48.67277408585042,0.24416429943556864,0.4768641320365458,145.54324796700234
late-winter-2026,full,0,94699,67.45329060763002,46.82791141223129,1.1186959988212903,0.4956884561891516,145.54324796700234
late-winter-2026,full+upwind,24,32383,64.42509204160473,44.76846871651373,-2.0883816310756655,0.49458388375165124,145.54324796700234
late-winter-2026,full+upwind,48,31480,67.61592893397075,46.480300786156576,4.803680920822382,0.4984751871361242,145.54324796700234
late-winter-2026,full+upwind,72,30836,69.59847097877001,48.50992609261209,-0.9228229642693849,0.4745063365753021,145.54324796700234
